siteId,treeId,status,dbhCm,circumferenceCm,radiusM,fitPoints,sectionPointCount,angularCoverageRatio,residualM,verticality,validatedSlices,centerSpreadM,radiusCv,qaFlags
site-002,SITE-002-CFO-058,A_INDICATIVE,36.465,114.558,0.18232,23,71,0.54167,0.01622,0.995,5,0.1323,0.2,
site-002,SITE-002-CFO-059,C_STRUCTURE_RISK,58.557,183.961,0.29278,33,75,0.83333,0.02619,0.996,4,0.21389,0.211,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-060,C_STRUCTURE_RISK,59.736,187.667,0.29868,36,69,0.70833,0.02383,1.0,4,0.21773,0.583,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-061,C_STRUCTURE_RISK,54.239,170.398,0.2712,44,100,0.70833,0.02357,0.997,3,0.20289,0.269,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-062,A_INDICATIVE,41.2,129.434,0.206,24,57,0.5,0.01644,0.998,5,0.15331,0.282,
site-002,SITE-002-CFO-063,B_LOW_CONFIDENCE,30.249,95.03,0.15124,20,72,0.58333,0.01193,0.999,4,0.18116,0.199,CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-064,C_STRUCTURE_RISK,55.232,173.516,0.27616,34,85,0.58333,0.01845,0.998,4,0.21772,0.028,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-065,B_LOW_CONFIDENCE,38.277,120.252,0.19139,20,69,0.54167,0.01234,0.997,5,0.23806,0.431,CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-066,B_LOW_CONFIDENCE,33.15,104.145,0.16575,21,45,0.41667,0.01299,0.982,5,0.25597,0.107,CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-067,C_STRUCTURE_RISK,56.27,176.779,0.28135,28,54,0.58333,0.02446,0.996,5,0.1138,0.094,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
